selected_event_id,original_shared_event_id,node_id,event_start,event_end,event_duration_hours,mean_rain_intensity,median_rain_intensity,peak_rain_intensity,recorded_accumulated_rainfall,first_response_lag_h,peak_to_peak_lag_h,node_label
1,8,Node1,2026-02-10 14:00:00,2026-02-10 16:00:00,3.0,1.87,2.26,3.36,74.2,2.0,3.0,Node 1
1,8,Node2,2026-02-10 14:00:00,2026-02-10 16:00:00,3.0,0.88,0.0,2.62,30.1,2.0,2.0,Node 2
2,11,Node1,2026-02-14 15:00:00,2026-02-14 17:00:00,3.0,5.2,6.3,7.5,118.3,2.0,3.0,Node 1
2,11,Node2,2026-02-14 15:00:00,2026-02-14 17:00:00,3.0,17.96,9.19,35.7,616.0,2.0,4.0,Node 2
3,13,Node1,2026-02-21 00:00:00,2026-02-21 04:00:00,5.0,6.47,3.23,15.6,286.3,2.0,6.0,Node 1
3,13,Node2,2026-02-21 00:00:00,2026-02-21 04:00:00,5.0,8.77,8.12,17.24,656.6,2.0,2.0,Node 2
4,14,Node1,2026-02-21 22:00:00,2026-02-22 01:00:00,4.0,1.93,1.16,5.4,63.7,2.0,3.0,Node 1
4,14,Node2,2026-02-21 22:00:00,2026-02-22 01:00:00,4.0,3.19,2.42,7.91,408.8,1.0,2.0,Node 2
5,15,Node1,2026-02-22 07:00:00,2026-02-22 20:00:00,14.0,2.49,1.85,7.56,362.6,2.0,14.0,Node 1
5,15,Node2,2026-02-22 07:00:00,2026-02-22 20:00:00,14.0,8.67,4.2,44.67,1426.6,2.0,14.0,Node 2
6,17,Node1,2026-02-26 02:00:00,2026-02-26 12:00:00,11.0,7.21,2.1,39.79,950.6,2.0,8.0,Node 1
6,17,Node2,2026-02-26 02:00:00,2026-02-26 12:00:00,11.0,19.61,5.6,104.63,4792.9,2.0,11.0,Node 2
7,20,Node1,2026-03-06 01:00:00,2026-03-06 03:00:00,3.0,2.57,0.7,7.0,48.3,2.0,3.0,Node 1
7,20,Node2,2026-03-06 01:00:00,2026-03-06 03:00:00,3.0,3.43,1.05,8.4,53.9,2.0,3.0,Node 2
8,22,Node1,2026-03-10 04:00:00,2026-03-10 06:00:00,3.0,0.34,0.32,0.7,2.1,2.0,2.0,Node 1
8,22,Node2,2026-03-10 04:00:00,2026-03-10 06:00:00,3.0,2.29,1.62,4.2,55.3,2.0,4.0,Node 2
9,25,Node1,2026-04-07 11:00:00,2026-04-07 11:00:00,1.0,7.0,7.0,7.0,7.0,2.0,3.0,Node 1
9,25,Node2,2026-04-07 11:00:00,2026-04-07 11:00:00,1.0,1.05,1.05,1.05,35.0,0.0,-2.0,Node 2
10,26,Node1,2026-04-18 14:00:00,2026-04-18 17:00:00,4.0,2.56,2.12,5.5,39.1,2.0,4.0,Node 1
10,26,Node2,2026-04-18 14:00:00,2026-04-18 17:00:00,4.0,0.88,0.7,2.1,26.0,0.0,2.0,Node 2
