node_id,sequence_length_hours,forecast_horizon_hours,persistence_mae,lstm_mae,mae_improvement,persistence_rmse,lstm_rmse,rmse_improvement,persistence_r2,lstm_r2,better_model
Node1,12,1,1.0044740961319594,2.2475082874298096,-1.2430341912978502,5.206841299093231,5.668839454650879,-0.461998155557648,0.9183057681454648,0.9031653170866136,Persistence
Node2,12,1,0.618356282271945,3.7996013164520255,-3.1812450341800806,3.949565466658652,8.907404899597168,-4.957839432938516,0.9350231106345016,0.6695066602906107,Persistence
Node1,12,2,1.8145293130239109,3.04408597946167,-1.229556666437759,7.226523617083227,7.694760322570801,-0.46823670548757335,0.8426373847928609,0.8215843943628193,Persistence
Node2,12,2,1.0325836680053548,4.9876322746276855,-3.9550486066223307,5.432717704675371,9.172774314880373,-3.740056610205002,0.8770596174342357,0.6495212142178381,Persistence
Node1,12,3,2.503097119367228,3.8049261569976807,-1.3018290376304527,8.681377672544773,9.351537704467772,-0.6701600319229986,0.7728984951684368,0.7364829481316182,Persistence
Node2,12,3,1.2188665325285044,5.983955383300781,-4.765088850772277,5.95117523903861,11.852005004882812,-5.900829765844202,0.8526550098713696,0.4155954279047441,Persistence
Node1,24,1,1.0044740961319594,2.050772428512573,-1.0462983323806134,5.206841299093231,5.683992385864258,-0.4771510867710269,0.9183057681454648,0.9026469313805036,Persistence
Node2,24,1,0.618356282271945,4.276297092437744,-3.6579408101657993,3.949565466658652,10.242432594299316,-6.2928671276406645,0.9350231106345016,0.5630150023335163,Persistence
Node1,24,2,1.8145293130239109,3.709041118621826,-1.8945118055979153,7.226523617083227,8.388755798339844,-1.1622321812566163,0.8426373847928609,0.7879502609158209,Persistence
Node2,24,2,1.0325836680053548,5.514217853546143,-4.481634185540788,5.432717704675371,10.126261711120604,-4.693544006445233,0.8770596174342357,0.5728715110141837,Persistence
Node1,24,3,2.503097119367228,3.935744047164917,-1.432646927797689,8.681377672544773,9.535248756408691,-0.8538710838639183,0.7728984951684368,0.7260276743343159,Persistence
Node2,24,3,1.2188665325285044,5.089911460876465,-3.8710449283479607,5.95117523903861,11.15771770477295,-5.206542465734339,0.8526550098713696,0.4820585873277256,Persistence
