sequence_length_hours,forecast_horizon_hours,rows,lstm_mae,lstm_rmse,baseline_mae,baseline_rmse,better_model,rmse_improvement_vs_baseline,rmse_percent_improvement
3,1,70,3.276866912841797,6.324647426605225,6.081143379211426,9.787537574768066,LSTM,3.462890148162842,35.380606426380965
3,2,66,6.254849433898926,11.084925651550291,11.466241836547852,16.486469268798828,LSTM,5.401543617248537,32.76349550155734
3,3,62,9.051809310913086,14.106603622436523,16.11969757080078,21.72938346862793,LSTM,7.622779846191406,35.08051600818261
6,1,58,3.840960741043091,7.557886600494385,7.143063068389893,10.69461441040039,LSTM,3.136727809906006,29.32997571988733
6,2,54,6.687191009521484,11.63460636138916,12.783316612243652,17.352611541748047,LSTM,5.718005180358887,32.95184224346944
6,3,50,8.311773300170898,12.429247856140137,17.300674438476562,22.326419830322266,LSTM,9.897171974182129,44.32941801417012
9,1,46,2.440218448638916,5.17862606048584,6.360518932342529,8.11561393737793,LSTM,2.93698787689209,36.189349315462884
9,2,42,4.536629676818848,9.112276077270508,11.029260635375977,13.537434577941896,LSTM,4.4251585006713885,32.68830940746934
9,3,38,6.0746917724609375,10.99608325958252,14.391779899597168,16.8864803314209,LSTM,5.890397071838379,34.88232571993134
12,1,34,0.8384014964103699,2.573926448822021,4.87176513671875,4.982099533081055,LSTM,2.4081730842590336,48.336510908078125
12,2,30,1.5871745347976685,3.014589786529541,9.268001556396484,9.33945655822754,LSTM,6.324866771698,67.72200001429574
12,3,26,2.3294057846069336,3.616560459136963,13.564615249633787,13.89357566833496,LSTM,10.277015209197996,73.96954862109749
